Transaction,Provided by
Contact land or property owner,HMLR
Learn about land or property,HMLR
Get updates on land or property,HMLR
Get property data,HMLR
View or update estate plan,HMLR
Split title into separate titles,HMLR
Combine separate titles into a single title,HMLR
Identify titles that affect development,HMLR
Search for a building plot,HMLR OS
Prove you own land or property,HMLR Conveyancing-industry
Claim an interest in land or property,HMLR Conveyancing-industry
Authorise someone to act on your behalf for land or property you own,HMLR
Stay in your home during a divorce or separation,HMLR
Report a boundary location registration error,HMLR
Report a price paid error,HMLR
Register land or property for the first time,HMLR Conveyancing-industry
Create update or remove a right of way across land or property,HMLR
Create update or remove a right to use land or property,HMLR
Register a change of property ownership,HMLR Conveyancing-industry
Update land or property ownership after a name change,HMLR
Change property ownership after a death,HMLR DWP
Mortgage or remortgage land or property,HMLR Financial-industry
Use property as security for a loan,HMLR
Use farming stock or equipment as security for a loan,HMLR
Report property fraud,HMLR
